[2025-06-08 03:19:02] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /admin/ip-management
[2025-06-08 03:19:03] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /admin/login
[2025-06-08 03:19:08] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /admin/login
[2025-06-08 03:19:08] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /admin
[2025-06-08 03:19:29] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /admin/ip-management
[2025-06-08 03:19:33] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /admin
[2025-06-08 03:20:06] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /
[2025-06-08 03:20:06] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /static/logos/globe.png
[2025-06-08 03:23:20] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /
[2025-06-08 03:23:20] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /static/logos/pldt.png
